City_ID,Country,City,Date,Lat,Long,Cloudiness,Humidity,Wind_Speed,Temp_Max
719555,HU,Kaba,1601343860,47.35,21.28,90,100,6.93,51.8
2953313,DE,Bad Wörishofen,1601343861,48.02,10.6,21,85,6.46,46
616328,AM,Hoktember,1601343862,40.13,44.01,0,48,4.7,62.6
3179656,IT,Castellana Grotte,1601343862,40.89,17.17,5,100,3.36,55.4
4685737,US,Deer Park,1601343572,29.71,-95.12,75,46,11.41,75.2
6541472,IT,Urbino,1601343864,43.73,12.64,0,66,10.29,55.99
3062658,CZ,Vnorovy,1601343864,48.93,17.35,100,95,5.08,53.01
673814,RO,Margina,1601343870,45.85,22.27,100,87,2.24,55.8
2026643,RU,Zarechye,1601343871,48.78,132.91,0,54,8.84,57.2
3076931,CZ,Dolní Benešov,1601343872,49.92,18.11,100,95,3.04,51.01
673982,RO,Malu Mare,1601343872,44.23,23.87,90,100,5.82,57.99
5907092,CA,Bracebridge,1601343873,45.03,-79.32,90,77,8.05,68
2817324,DE,Viernheim,1601343874,49.54,8.58,76,88,4.45,53.01
1269750,IN,India,1601343875,20,77,0,83,8.23,72.93
5745380,US,Pendleton,1601343876,45.67,-118.79,1,27,10.29,73.4
674844,RO,Lespezi,1601343876,47.37,26.7,75,93,6.93,59
672343,RO,Negru Vodă,1601343877,43.82,28.2,13,87,10.98,66
3344788,BA,Bijela,1601343878,43.61,17.95,40,100,2.24,55.4
2037335,CN,Fuyu,1601343879,45.18,124.82,0,60,8.86,55
2737137,PT,Nogueira da Regedoura,1601343881,41.01,-8.59,31,83,1.86,61
666235,RO,Ştefăneşti,1601343881,44.87,24.93,100,94,2.17,57.96
6147962,CA,Simcoe,1601343879,42.83,-80.3,100,92,16.62,64
670472,RO,Plopana,1601343883,46.68,27.22,84,100,10.29,60.8
3109642,ES,Santiago de Compostela,1601343884,42.88,-8.55,91,87,4.7,51.01
785559,RS,Stara Pazova,1601343885,44.98,20.16,40,100,3.36,57.2
5789856,US,Cheney,1601343804,47.49,-117.58,20,28,1.32,71.6
1514844,TJ,Pakhtakoron,1601343886,40.16,68.75,100,34,6.35,58.77
684280,RO,Boldeşti-Scăeni,1601343887,45.03,26.03,100,82,4.65,55
683961,RO,Brădeşti,1601343888,44.48,23.63,92,97,1.01,57.99
783938,MK,Zelenikovo,1601343889,41.89,21.59,90,87,1.12,59
697325,UA,Petrove,1601343889,48.32,33.26,100,87,4.47,57.2
3192236,BA,Novi Travnik,1601343890,44.17,17.66,75,100,1.12,50
696771,UA,Pohrebyshche,1601343891,49.49,29.26,49,71,9.08,55.11
3170472,SM,Poggio Chiesanuova,1601343891,43.9,12.42,0,87,3.36,55.99
2834240,DE,Schwetzingen,1601343892,49.38,8.58,75,92,5.99,54
5231851,US,Sioux Falls,1601343741,43.55,-96.7,40,62,10.29,51.8
2878037,DE,Lichtenstein,1601343894,50.75,12.65,2,87,5.59,51.01
484747,RU,Talovaya,1601343895,51.11,40.73,98,47,11.88,50.41
491025,RU,Soligalich,1601343895,59.08,42.29,100,78,6.96,48.85
3072903,CZ,Kraslice,1601343896,50.32,12.52,9,96,2.39,46
3141107,NO,Røyken,1601343897,59.75,10.39,100,32,1.01,55
528288,RU,Maykor,1601343898,59.01,55.88,76,93,2.73,45.77
568822,RU,Chernitsyno,1601343899,51.51,36.05,100,59,8.01,53.01
580432,RU,Atemar,1601343899,54.18,45.41,100,56,4.88,46.47
512570,RU,Parfino,1601343900,57.97,31.65,55,94,4.36,50
2023584,RU,Imeni Poliny Osipenko,1601343901,52.42,136.49,0,50,2.75,56.79
2178357,AU,Aberfoyle,1601343902,-30.27,152.02,46,47,2.64,56.17
2905290,DE,Hessisch Oldendorf,1601343903,52.17,9.25,20,81,3.36,52
2619221,DK,Jyderup,1601343904,55.66,11.42,2,100,1.12,51.01
793505,EE,Olgina,1601343905,59.4,28.13,21,96,5.91,49.39
2622418,DK,Espergærde,1601343906,56,12.57,5,92,3,54
2953521,DE,Bad Dürrenberg,1601343907,51.3,12.07,4,81,5.82,54
3074020,CZ,Kadaň,1601343908,50.38,13.27,95,93,5.82,46.4
753276,PL,Zielonka,1601343908,52.3,21.16,100,81,6.93,55
1500485,RU,Listvyagi,1601343909,53.68,86.95,100,79,9.6,42.84
760680,PL,Radzyń Podlaski,1601343910,51.78,22.62,100,100,5.82,53.01
570455,RU,Buzdyak,1601343911,54.58,54.55,0,84,2.42,46.38
455718,LV,Sigulda,1601343914,57.15,24.86,86,96,4.09,53.01
596260,LT,Pakruojis,1601343915,55.97,23.87,69,100,3.36,39.2
2649322,GB,Fleet,1601343916,51.28,-0.83,96,93,3.36,59
499292,RU,Salavat,1601343917,53.38,55.91,3,91,3,45.27
2620871,DK,Hals,1601343636,57,10.31,74,93,1.01,53.01
3084093,PL,Swidnica,1601343919,50.84,16.49,100,91,4.03,46
518976,RU,Novocheboksarsk,1601343919,56.11,47.48,73,80,6.71,39.2
3099759,PL,Elblag,1601343921,54.15,19.41,44,81,3.36,53.6
2783309,BE,Zedelgem,1601343922,51.13,3.14,70,91,1.01,53.01
3161733,NO,Bergen,1601343923,60.39,5.33,75,93,6.93,55.99
3077706,CZ,Chodov,1601343924,50.24,12.75,45,93,5.82,46.4
3101680,PL,Chodzież,1601343924,52.99,16.92,92,93,4.7,53.01
2646504,GB,Hove,1601343925,50.83,-0.17,89,95,1.99,62.01
587517,EE,Võhma,1601343926,58.63,25.55,100,93,2.64,54
2792857,BE,Leopoldsburg,1601343927,51.12,5.25,100,93,2.24,57
2698767,SE,Kumla,1601343928,59.13,15.14,90,93,6.93,55.4
2613172,DK,Søften,1601343929,56.24,10.09,85,93,3.36,55.4
2017632,RU,Priiskovyy,1601343930,51.93,116.63,0,53,5.28,47.68
2644495,GB,Limekilns,1601343931,56.03,-3.48,10,100,4.7,46.99
2610311,DK,Viby,1601343932,55.55,12.02,0,93,4.7,51.8
2655952,GB,Bellshill,1601343932,55.82,-4.02,49,93,4.25,44.01
3088477,PL,Połczyn-Zdrój,1601343933,53.76,16.1,98,91,5.37,51.01
2966796,IE,Bailieborough,1601343934,53.92,-6.97,79,89,3.44,42.01
1493162,RU,Salym,1601343935,60.06,71.48,30,94,3.11,33.03
486186,RU,Suoyarvi,1601343936,62.08,32.35,0,95,3.94,42.89
646709,FI,Mäntsälä,1601343937,60.66,25.28,9,87,1.01,53.01
3136023,NO,Storsteinnes,1601343938,69.24,19.23,0,93,16.11,44.6
660073,FI,Eurajoki,1601343939,61.2,21.73,23,93,2.24,50
3041732,AX,Mariehamn,1601343939,60.1,19.93,97,93,2.24,55.4
515879,RU,Oktyabr'skiy,1601343940,54.48,53.47,0,81,1.21,46.24
470762,RU,Vyartsilya,1601343941,62.18,30.69,2,95,4.74,45.84
2715459,SE,Falun,1601343942,60.6,15.63,90,100,2.24,50
6453319,NO,Harstad,1601343944,68.8,16.53,39,87,16.11,53.01
497927,RU,Segezha,1601343944,63.74,34.32,1,89,6.17,46.62
644436,FI,Noormarkku,1601343945,61.59,21.87,31,93,2.24,50
1486913,RU,Vorgashor,1601343946,67.58,63.95,100,83,11.36,36.16
2125906,RU,Dukat,1601343947,62.55,155.55,98,71,8.08,39.97
2026861,RU,Berdigestyakh,1601343948,62.1,126.7,93,74,8.63,41.31
652977,FI,Keuruu,1601343949,62.27,24.7,30,100,1.12,48.99
5882953,CA,Aklavik,1601343950,68.22,-135.01,90,100,8.05,37.4
509234,RU,Pitkyaranta,1601343951,61.57,31.48,0,93,8.14,48.13
464790,RU,Zapolyarnyy,1601343952,69.42,30.81,48,87,16.11,51.8
3155487,NO,Glomfjord,1601343952,66.82,13.97,27,71,21.92,57.99
3132893,NO,Våler,1601343953,60.68,11.83,100,86,2.24,53.01
526600,RU,Mikun',1601343954,62.35,50.08,100,95,3.98,44.31
508034,RU,Nikolskiy,1601343955,60.92,34.06,31,88,4.63,47.07
1265591,IN,Kalya,1601343956,12.98,77.18,75,88,4.7,73.4
634093,FI,Tornio,1601343957,65.85,24.15,44,100,5.82,48.2
778829,NO,Lyngseidet,1601343957,69.58,20.22,6,93,16.11,44.6
2012570,RU,Zhatay,1601343958,62.16,129.83,0,75,6.71,41
553766,RU,Kamenka,1601343926,51.32,42.77,100,51,9.19,46.85
481548,RU,Troitsko-Pechorsk,1601343958,62.71,56.2,58,96,4.61,45.1
795243,RU,Snezhnogorsk,1601343962,69.19,33.25,40,100,4.47,46.4
604490,SE,Luleå,1601343963,65.58,22.15,90,100,2.84,46.4
533933,RU,Lovozero,1601343964,68,35.01,2,87,3.76,42.58
3145580,NO,Molde,1601343965,62.74,7.16,53,87,8.05,51.8
3149533,NO,Roverud,1601343966,60.25,12.05,100,86,1.9,53.01
630752,FI,Ylöjärvi,1601343967,61.56,23.6,40,100,3.36,48.99
2125693,RU,Evensk,1601343968,61.95,159.23,100,72,4.34,48
3160491,NO,Botngård,1601343969,63.77,9.81,40,87,9.17,55
3415496,IS,Keflavik,1601343969,64,-22.56,75,100,9.17,41
