City_Id,Country,City,Date,Lat,Long,Cloudiness,Humidity,Wind_Speed,Temp_Max
1687894,PH,Santa Rosa,1601341450,14.31,121.11,40,79,2.24,87.01
1621177,ID,Yogyakarta,1601341378,-7.78,110.36,55,83,6.93,77.0
3403611,BR,Campo Alegre,1601341452,-9.78,-36.35,75,94,4.7,73.4
1625708,ID,Tabanan,1601341453,-8.54,115.13,40,89,10.29,84.2
148842,TZ,Wete,1601341454,-5.06,39.73,100,81,5.95,75.72
204953,CD,Tshikapa,1601341455,-6.42,20.8,99,90,3.04,72.37
155076,TZ,Makuyuni,1601341456,-4.73,38.1,100,83,2.28,70.79
3388660,BR,São João,1601341457,-8.88,-36.37,72,96,8.86,65.71
1648266,ID,Bondowoso,1601341458,-7.91,113.82,13,53,3.51,83.52
3406263,BR,Barras,1601341458,-4.24,-42.29,99,78,3.8,77.99
152743,TZ,Mto wa Mbu,1601341459,-3.35,35.85,44,76,3.18,68.7
3697083,PE,Eten,1601341460,-6.91,-79.86,3,88,12.39,60.53
3398355,BR,Igaci,1601341461,-9.54,-36.63,16,95,6.93,69.46
184745,KE,Nairobi,1601341462,-1.28,36.82,75,82,9.17,62.6
3659599,EC,Catamayo,1601341463,-3.98,-79.35,48,78,1.3,64.99
175555,ZM,Nakonde,1601341464,-9.34,32.74,100,90,2.39,57.49
1628453,ID,Sawangan,1601341193,-6.4,106.77,40,69,8.05,87.01
3652943,EC,Portovelo,1601341466,-3.72,-79.62,100,74,1.57,71.98
3653403,EC,Pasaje,1601341467,-3.33,-79.82,100,82,2.06,71.1
3390901,BR,Quixeramobim,1601341467,-5.2,-39.29,7,83,10.07,75.52
2236967,AO,Soyo,1601341172,-6.13,12.37,100,83,7.61,73.58
1682775,PH,Tarusan,1601341469,8.65,117.51,100,82,5.01,80.74
1686007,PH,Sison,1601341470,16.17,120.52,61,68,2.57,84.4
2335614,NG,Kagoro,1601341471,9.6,8.38,100,90,0.49,68.18
3687213,CO,Casabianca,1601341472,5.08,-75.12,95,93,2.24,57.09
233312,UG,Hoima,1601341463,1.44,31.34,70,97,2.44,63.39
3709742,PA,Escobal,1601341474,9.15,-79.96,100,88,3.36,77.0
3382160,GF,Cayenne,1601341475,4.93,-52.33,27,88,6.93,78.8
5392368,US,San Marcos,1601341476,33.14,-117.17,1,73,6.93,77.0
1686572,PH,Silab,1601341477,9.44,123.18,75,78,4.7,82.4
4007676,MX,Pueblo Nuevo,1601341478,23.38,-105.38,93,81,3.71,64.89
3837213,AR,San Juan,1601341371,-31.54,-68.54,0,26,18.14,68.25
2318374,NG,Gboko,1601341480,7.32,9.0,100,94,12.17,72.9
3804949,VE,Guasdualito,1601341480,7.24,-70.73,100,93,3.2,75.38
2293801,GH,Yendi,1601341481,9.44,-0.01,85,92,4.36,73.35
198629,KE,Eldoret,1601341482,0.52,35.27,0,87,3.36,55.4
3671287,CO,Puerto Wilches,1601341483,7.35,-73.9,77,88,1.45,77.18
1712245,PH,Guiong,1601341484,6.42,122.03,90,88,5.82,77.0
2224212,CM,Njinikom,1601341485,6.23,10.28,100,98,1.1,62.51
1645133,ID,Dumai,1601341486,1.68,101.45,100,83,3.62,78.12
4026075,MX,Guacamayas,1601341413,18.02,-102.22,100,79,1.99,80.2
3792382,CO,Cartagena del Chairá,1601341487,1.33,-74.84,1,77,1.19,76.15
1690774,PH,Salug,1601341489,8.11,122.78,95,71,4.38,84.54
7671223,PW,Kloulklubed,1601341490,7.04,134.26,75,74,8.05,84.2
1262338,IN,Mūvattupula,1601341490,9.97,76.58,40,94,1.79,77.0
6541905,IT,Nola,1601341491,40.92,14.53,81,93,2.24,57.2
3583446,SV,San Miguel,1601341492,13.48,-88.18,40,83,2.24,82.4
3684266,CO,El Dovio,1601341493,4.51,-76.24,100,96,4.65,64.29
3714000,PA,Boca de Parita,1601341494,8.02,-80.45,90,81,2.37,79.2
3492908,DO,Santo Domingo,1601341497,18.5,-69.99,100,100,2.26,79.0
1729550,PH,Bacong,1601341498,9.25,123.3,75,78,4.7,82.4
3681222,CO,Güicán,1601341498,6.46,-72.41,56,78,3.51,47.68
3446065,BR,Três Rios,1601341408,-22.12,-43.21,90,72,3.53,74.55
1695180,PH,Simbahan,1601341499,6.3,120.58,100,77,15.59,82.22
1632859,ID,Pandaan,1601341500,-7.65,112.69,0,51,2.59,84.6
3396016,BR,Macapá,1601341501,0.04,-51.07,35,70,11.41,84.2
3681356,CO,Guateque,1601341502,5.01,-73.47,90,83,2.46,60.04
1704552,PH,Mabini,1601341503,15.6,120.98,75,83,2.24,82.4
1267360,IN,Kayamkulam,1601341267,9.18,76.5,100,92,4.63,75.65
1214658,ID,Lhokseumawe,1601341505,5.18,97.15,100,78,5.32,79.97
1732160,PH,Agay,1601341506,9.05,125.59,7,61,1.52,87.91
3680453,CO,Istmina,1601341216,5.16,-76.68,100,94,2.57,74.93
2385535,CF,Kouango,1601341508,4.99,19.96,100,94,1.25,69.71
3837056,AR,San Luis,1601341470,-33.3,-66.34,0,30,11.21,62.94
1735158,MY,Petaling Jaya,1601341291,3.11,101.61,20,83,3.36,82.0
1712961,PH,Gigmoto,1601341510,13.78,124.39,95,62,2.51,87.08
1727089,PH,Banquero,1601341511,17.02,121.78,100,85,0.58,81.05
1255712,IN,Sorada,1601341512,19.75,84.43,5,80,2.35,78.26
3514437,MX,Xochitepec,1601341513,18.78,-99.23,75,83,2.24,73.4
3815453,MX,Villa Vicente Guerrero,1601341514,19.12,-98.17,90,77,6.93,62.6
1687038,PH,Sebaste,1601341515,11.59,122.09,96,64,1.23,86.45
1711061,PH,Ilihan,1601341516,13.63,121.08,100,76,3.0,86.0
1684210,PH,Tajao,1601341516,10.31,123.58,20,74,3.36,86.0
1716834,PH,Coron,1601341518,12.0,120.2,100,78,7.05,83.84
1696814,PH,Pacol,1601341519,10.45,122.82,15,72,0.29,84.06
3670218,CO,San Andrés,1601341520,12.58,-81.7,75,83,8.05,80.6
1695357,PH,Tococ,1601341521,16.03,120.32,69,72,1.74,84.99
321572,TR,Belen,1601341522,36.49,36.22,0,88,4.7,77.0
1152322,TH,Long,1601341524,18.08,99.83,75,100,1.12,78.8
1607512,TH,Phra Phutthabat,1601341525,14.73,100.8,78,95,3.0,80.01
3588762,GT,Sibilia,1601341526,15.0,-91.62,100,100,2.59,68.0
1690039,PH,San Fernando,1601341526,15.03,120.69,75,83,2.24,82.4
1718621,PH,Capoocan,1601341457,11.29,124.64,16,64,1.57,87.3
1657818,LA,Champasak,1601341271,14.75,106.0,40,88,2.24,78.8
4007676,MX,Pueblo Nuevo,1601341478,23.38,-105.38,93,81,3.71,64.89
3587345,SV,Apopa,1601341530,13.81,-89.18,93,86,2.73,73.0
1724240,PH,Bolong,1601341531,7.1,122.24,90,88,5.82,77.0
5392090,US,San Jacinto,1601341532,33.78,-116.96,0,21,1.99,93.0
2245170,MR,Podor,1601341533,16.65,-14.96,0,74,2.24,84.2
1259019,IN,Rāhuri,1601341534,19.38,74.65,1,86,2.68,71.56
1720573,PH,Calaoagan,1601341535,18.04,121.72,100,79,3.4,82.54
4007676,MX,Pueblo Nuevo,1601341478,23.38,-105.38,93,81,3.71,64.89
3520926,MX,Quecholac,1601341537,18.95,-97.67,100,88,1.99,64.99
3526625,MX,Jalacingo,1601341538,19.8,-97.3,100,99,1.1,59.79
1693303,PH,Pitogo,1601341539,13.78,122.09,100,67,5.03,85.75
3998291,MX,Loreto,1601341540,22.27,-101.97,87,42,24.45,67.03
5392952,US,Santa Barbara,1601341540,34.42,-119.7,1,45,6.93,87.01
